,title,sentimen
0,"Bank Mandiri Beberkan Tantangan Ekonomi RI, Bikin Ngeri? - CNBC Indonesia",Netral
1,"Laba BUMN Meroket, Bank Mandiri Sumbang Rp 28,03 T - CNBC Indonesia",Netral
2,Mantap! Transaksi Livin' by Mandiri Tembus Rp 880 T - CNBC Indonesia,Positif
3,"Asyik Nih, Mau Punya Motor Listrik Udah Bisa Lewat Kredit - CNBC Indonesia",Positif
4,Catat! 5 BUMN Ini Berikan Gaji Besar Buat Fresh Graduate - CNBC Indonesia,Positif
5,Digitalisasi Bank di Indonesia Picu 'Kiamat' Teller & ATM? - CNBC Indonesia,Netral
6,"Mengintip Gaji Karyawan Bank BUMN, Siapa yang Paling Tinggi? - CNBC Indonesia",Netral
7,"Rupiah Keok, BI Yakin Tak Perlu Naikkan Suku Bunga? - CNBC Indonesia",Netral
8,"Kalori & Produksi Terbatas,Tantangan Batu Bara RI Masuk Eropa - CNBC Indonesia",Negatif
9,"Semengerikan Apa Krisis yang Bakal Terjadi, 1998 atau 2008? - CNBC Indonesia",Negatif
10,"Langkahi BMRI, GOTO Kembali Jadi Emiten Terbesar ke-4 di BEI - CNBC Indonesia",Netral
11,"Ini 11 BUMN Penyumbang Dividen Terbesar 2022, Ada Jagoanmu? - CNBC Indonesia",Netral
12,"Yuk Baca Kabar Pasar, Dividen Unilever Hingga IPO HILLCON - CNBC Indonesia",Netral
13,"Jadi Profesi Idaman, Simak Daftar Gaji Karyawan Bank di 2022 - CNBC Indonesia",Netral
14,"IHSG Kembali ke Psikologis 7.000, Semoga Naik Terus Ya! - CNBC Indonesia",Netral
15,Ini Bank yang Sediakan Biaya Transfer Antar Bank Rp 2.500 - CNBC Indonesia,Netral
16,"RI Selamat, Sederet Negara Ini Ambruk Terjerat Utang - CNBC Indonesia",Netral
17,Negara Diminta Talangi Pesangon Eks Karyawan Merpati Rp 318 M - CNBC Indonesia,Netral
18,"Yakin Kuat Tahan Bunga, BI? - CNBC Indonesia",Positif
19,Begini Penjelasan Kementerian BUMN Soal UUS BTN Gabung ke BSI - CNBC Indonesia,Netral
20,"Soal Metaverse dan Akuisisi Bank Kecil, Ini Kata Bank Mandiri - CNBC Indonesia",Negatif
21,"Intens Digitalisasi, AXA Mandiri Raih Pendapatan Premi Rp 12T - CNBC Indonesia",Positif
22,"IHSG Tak Jadi Nyungsep Bareng LQ 45, Kenapa Ya? - CNBC Indonesia",Netral
23,Setoran Laba BMRI Rp 28 T Hingga Bundamedik Terus Untung - CNBC Indonesia,Netral
24,"Kipas-Kipas, RI Dapat Setoran Rp 41 Triliun dari 11 BUMN Ini - CNBC Indonesia",Netral
25,"Segini Beda Gaji PNS dan Karyawan BUMN, Lebih Mantap Mana? - CNBC Indonesia",Positif
26,Bank Mandiri Jawab Kenapa Livin Mandiri Eror - CNBC Indonesia,Netral
27,"8 Bansos Ini Cair di Juni 2022, Cek Nama Anda di Sini! - CNBC Indonesia",Positif
28,A Man With Million Ways Rayakan HUT di CNBC Golf Tournament - CNBC Indonesia,Netral
29,"The Fed Kerek Bunga Acuan, Awas Sikut-Sikutan Rebutan Dana! - CNBC Indonesia",Netral
30,"Tarif Listrik Buat Orang Kaya Naik, Inflasi Makin Melejit? - CNBC Indonesia",Positif
31,Bank Mandiri Dorong Inklusi Keuangan di Momen Presidensi G20 - CNBC Indonesia,Netral
32,Berat Nih Hantamannya! Rupiah Bakal Tembus 15.000/US$? - CNBC Indonesia,Netral
33,Transformasi Digital Dorong Pertumbuhan Bank Mandiri - CNBC Indonesia,Netral
34,"Bankir Kurangi Kredit Fosil, 'Kiamat' Batu Bara Makin Nyata? - CNBC Indonesia",Positif
35,"Musim Dividen, BUMN Setor Triliunan Untuk Pemerintah - CNBC Indonesia",Netral
36,Kenapa Laba Bank Mandiri (BMRI) Melesat? Ternyata Karena Ini! - CNBC Indonesia,Netral
37,Cepat Bun! Beli Mainan Anak Diskon Hingga 55% Pakai Allo Bank - CNBC Indonesia,Positif
38,"Bunga 6%-7%, Begini Cara Dapat KUR dari BRI Hingga BCA - CNBC Indonesia",Netral
39,"Bank Mandiri Ogah Latah Dirikan Bank Digital, Ini Alasannya - CNBC Indonesia",Netral
40,Gimana Layanan Perbankan di Metaverse? Ini Kata Bank Mandiri - CNBC Indonesia,Netral
41,"Untung Dagang Mei Susut, Ekspor RI Masih Bisa Tancap Gas? - CNBC Indonesia",Positif
42,"Bank Mandiri Tutup Livin Logo Biru, Cek Tanggalnya - CNBC Indonesia",Netral
43,"Diam-diam Asing Borong BBRI Sepekan Ini, Ada Apa? - CNBC Indonesia",Negatif
44,Bank Mandiri Dorong Transaksi Livin' by Mandiri Lewat BI-Fast - CNBC Indonesia,Positif
45,"Jangan Kaget! RI Bakal Aman dari Krisis, Ini Buktinya - CNBC Indonesia",Positif
46,"Mandiri Internet Bisnis: Cara Daftar, Syarat Hingga Transfer - CNBC Indonesia",Netral
47,"Asing Borong Saham Ini Pekan Lalu, Ada yang Mau Ikutan? - CNBC Indonesia",Negatif
48,"Shanghai 'Digembok' Lagi, Harga Batu Bara Bakal Susah Naik - CNBC Indonesia",Negatif
49,Kredit Bank Mandiri di Segmen Ini Tumbuh 7% Per Akhir Maret - CNBC Indonesia,Netral
50,"New Livin' by Mandiri, Aplikasi Super dari Bank Terbesar - CNBC Indonesia",Positif
51,Catat! Jadwal Operasional Cabang Bank Mandiri Selama Lebaran - CNBC Indonesia,Netral
52,"Simak, Sepuluh Emiten Ini Tebar Dividen Jumbo! - CNBC Indonesia",Netral
53,"Getol Tarik Investasi Asing, Begini Jurus Bank Mandiri - CNBC Indonesia",Negatif
54,"Sambut Era Digital, Bank Mandiri Gak Bakal Pecat Pegawai - CNBC Indonesia",Netral
55,"Akulaku Serius Garap Bank Digital, Ingin Kuasai 40% Saham BNC - CNBC Indonesia",Negatif
56,"Begini Struktur Penawaran Obligasi Anak KB Kookmin, Minat? - CNBC Indonesia",Positif
57,Terungkap! Nih Rahasia Ekonomi RI Meroket & Kebal Resesi - CNBC Indonesia,Negatif
58,"Kasus Covid-19 Nanjak, Menkes: Pakai Masker Saat di Kerumunan - CNBC Indonesia",Netral
59,"Kalau AS Resesi, Apakah Ekonomi Indonesia Bakal Ikutan Jatuh? - CNBC Indonesia",Netral
60,"Susul BNI, BRI Juga Terbitkan Green Bond Rp 5 T - CNBC Indonesia",Negatif
61,Gaya Jokowi Tak Pakai Masker Sambut Presiden Jerman - CNBC Indonesia,Positif
62,"Waduh, Harga Batu Bara Anjlok 6% Lebih! - CNBC Indonesia",Positif
63,"Bank Mandiri Kucurkan Kredit Rp 2,3 T untuk Biayai Dua Proyek - CNBC Indonesia",Netral
64,"PPKM Longgar, Bank Mandiri Optimistis Kredit 2022 Tumbuh 7-8% - CNBC Indonesia",Negatif
65,"Selain Garuda, Emiten Ini Punya Utang Lebih Dari Rp 50 T - CNBC Indonesia",Positif
66,"Garuda dan 5 BUMN Lain Bakal Rights Issue, Ini Rinciannya - CNBC Indonesia",Negatif
67,Begini Cara Transfer dengan BI Fast di Bank Mandiri - CNBC Indonesia,Positif
68,Bos Bank Mandiri Ungkap Tantangan Pertumbuhan Ekonomi RI 2022 - CNBC Indonesia,Positif
69,"Kabar Akuisisi Bank Digital, Bos Bank Mandiri Buka Suara! - CNBC Indonesia",Netral
70,"Laba Bank Mandiri Q3 Melesat 37% Rp 19,2 T, Aset Rp 1.638 T - CNBC Indonesia",Netral
71,"Agus Projo, Dirut BRMS yang Kabarnya Dekat Dengan Salim - CNBC Indonesia",Netral
72,Mantap! Bank Mandiri Berangkatkan 75 Bus Mudik Gratis - CNBC Indonesia,Positif
73,"Minggu Lalu Ambrol 12%, Batu Bara Siap Balas Dendam? - CNBC Indonesia",Positif
74,"Jadi PNS atau Pegawai BUMN, Lebih Sejahtera Mana? - CNBC Indonesia",Positif
75,Intip 11 BUMN Penyumbang Dividen Terbesar 2022 - CNBC Indonesia,Netral
76,"Hadirkan Jajaran CEO, Golf Tournament 2022 Kembali Digelar - CNBC Indonesia",Netral
77,"Triple Horor Semakin Dekat, Ini Dampaknya ke Kantong Orang RI - CNBC Indonesia",Netral
78,"Mulai 29 Juni 2022, BEI Bakal Punya Direksi Baru, Kenalan Yuk - CNBC Indonesia",Positif
79,Bank Mandiri Salurkan 100.000 Paket Sembako ke Masyarakat - CNBC Indonesia,Netral
80,"Kabar Baik di Akhir Pekan: Yield SBN Turun, Rupiah Perkasa - CNBC Indonesia",Positif
81,"PTPP Garap IT Center Bank Mandiri, Ini Rinciannya - CNBC Indonesia",Negatif
82,Bank Mandiri Dinobatkan Jadi The Best Financial Super App - CNBC Indonesia,Positif
83,"Gelar RUPST, Bank-bank Kakap RI Mau Rombak Direksi - CNBC Indonesia",Netral
84,"RUPS Mandiri Mulai, Ada Perubahan Direksi & Komisaris? - CNBC Indonesia",Netral
85,"Gencarkan Nontunai, Livin by Mandiri Tebar Promo di Indomaret - CNBC Indonesia",Netral
86,Mandiri Geber Terus Layanan Digital Banking - CNBC Indonesia,Netral
87,"Uni Eropa Embargo Rusia, Harga Minyak Bisa di Atas USD 110? - CNBC Indonesia",Netral
88,"Dukung Komunitas Disabilitas, Bank Mandiri Beri Bus ke YPAC - CNBC Indonesia",Netral
89,"BPJS Bisa Dipakai Untuk Beli Rumah, Begini Caranya - CNBC Indonesia",Netral
90,RI Bisa Boikot India karena Hina Nabi Muhammad? Ini Faktanya - CNBC Indonesia,Netral
91,Bank Mandiri Hadirkan Jago Basket Internasional ke Indonesia - CNBC Indonesia,Netral
92,"Bank Mandiri Kucurkan Kredit Rp 2,5 T ke Hutama Karya - CNBC Indonesia",Netral
93,Bank Mandiri Kucurkan KUR Rp 14 T Supaya UMKM Makin Josss! - CNBC Indonesia,Positif
94,"Kejar Standar WHO, RI Buka Program Beasiswa Dokter Spesialis - CNBC Indonesia",Netral
95,"Yang Lain Sibuk Akuisisi, Bank Mandiri (BMRI) Justru Begini - CNBC Indonesia",Positif
96,Bank Mandiri: BI7DRR Berpeluang Naik Hingga 50 Bps di H2-2022 - CNBC Indonesia,Netral
97,"Gelar Lelang Terbesar, Bank Mandiri Perkuat Optimalisasi Aset - CNBC Indonesia",Netral
98,Lebaran Punya Rumah Baru? Cek Promo KPR dari Bank Mandiri - CNBC Indonesia,Positif
99,Mandiri Gandeng LPEI Perkuat Layanan Keuangan Ekspor - CNBC Indonesia,Netral
100,"Bank Mandiri Proyeksi Ekonomi RI Tumbuh 5,3 Persen Kuartal II 2022 - CNN Indonesia",Positif
101,Bank Mandiri Incar Transaksi Livin' Tahun Ini Tembus Rp3.000 T - CNN Indonesia,Netral
102,"Bank Mandiri Sumbang Laba Rp28,03 T Sepanjang 2021 - CNN Indonesia",Netral
103,Bank Mandiri Investasi Rp2 M Bangun Penyaringan Air Laut di NTT - CNN Indonesia,Netral
104,Daftar Kumpulan Saham yang Diprediksi Cuan Pekan Ini - CNN Indonesia,Netral
105,"Cara Tarik Tunai Tanpa Kartu di ATM BCA, BNI, BRI, dan Mandiri - CNN Indonesia",Netral
106,Taspen Resmikan Kantor Cabang di Pamekasan - CNN Indonesia,Netral
107,"Laba Bank Mandiri Melonjak 69,5 Persen di Kuartal I 2022 - CNN Indonesia",Positif
108,"Pemerintah Tawarkan SBR011, Bunga 5,5 Persen - CNN Indonesia",Positif
109,Nasabah Mandiri Keluhkan Mobile Banking Error - CNN Indonesia,Netral
110,"Optimalisasi Layanan, Taspen Kolaborasi Bareng Himbara dan Tapera - CNN Indonesia",Netral
111,"Penyaluran KUR Bank Mandiri Tembus Rp16,85 T hingga Mei 2022 - CNN Indonesia",Netral
112,"Upgrade ke Allo Prime, Dapat Diskon Mainan Anak hingga 55 Persen - CNN Indonesia",Netral
113,Bank Mandiri Bakal Ubah Ratusan Cabang Jadi Kantor Layanan Digital - CNN Indonesia,Netral
114,KPK Buka Peluang Proses Hukum Anak Mantan Pejabat Ditjen Pajak - CNN Indonesia,Positif
115,Layanan Livin Bank Mandiri Kembali Normal Setelah Sempat Eror - CNN Indonesia,Positif
116,Daftar Lowongan Kerja Terbaru Bank Mandiri - CNN Indonesia,Positif
117,Menerka Prospek Investor Danai Startup Usai Gelombang PHK - CNN Indonesia,Netral
118,WhatsApp Siapkan Layanan Ngobrol 1 Akun untuk 10 Perangkat - CNN Indonesia,Netral
119,"Pembobolan Rp5,8 M, Bank Mandiri Ganti Jika Terbukti Lalai - CNN Indonesia",Netral
120,Bupati PPU Disebut Pakai Uang Suap Rp1 M untuk Musda Demokrat Kaltim - CNN Indonesia,Netral
121,"Aplikasi Livin Mandiri Error, Manajemen Angkat Suara - CNN Indonesia",Netral
122,Alasan BSI Pilih Dubai untuk Ekspansi Bisnis di Timur Tengah - CNN Indonesia,Netral
123,Eks Wali Kota Tanjungbalai Divonis 4 Tahun Penjara - CNN Indonesia,Netral
124,Terpidana Korupsi Bank Mandiri Rp120 Miliar Ditangkap - CNN Indonesia,Netral
125,"Kasus Helikopter AW-101, KPK Blokir Rekening Bank Rp139 M - CNN Indonesia",Netral
126,"Mainan Anak-anak Diskon 50 Persen, Pakai Allo Diskon 55 Persen - CNN Indonesia",Netral
127,"Laba Bank Mandiri Meroket 21 Persen Jadi Rp12,5 Triliun - CNN Indonesia",Netral
128,"Bank Mandiri Pamit dari Aceh, Tutup Seluruh Kantor Cabang - CNN Indonesia",Netral
129,INA Kempit Saham Bank Mandiri dan Bank BRI - CNN Indonesia,Netral
130,"Restrukturisasi Kredit Bank Mandiri Rp90 T, Mayoritas Berisiko Rendah - CNN Indonesia",Netral
131,Laba Bank Mandiri Lompat 66 Persen Jadi Rp28 T - CNN Indonesia,Netral
132,LSM Lingkungan Catat 4 Bank Besar RI Masih Biayai Batu Bara - CNN Indonesia,Netral
133,"Mandiri Investment Forum 2022, Ajang Sinergi Gaet Peluang Investasi - CNN Indonesia",Netral
134,Kejagung Tangkap Buronan Korupsi Bank Mandiri Rugikan Rp120 M - CNN Indonesia,Netral
135,"BTN, Bank Mandiri dan Permata Sudah Blokir Kartu ATM Non Chip - CNN Indonesia",Netral
136,BSI Tebar Dividen Rp757 Miliar - CNN Indonesia,Netral
137,"BCA, BRI dan Mandiri Masuk Daftar Bank Terbaik Dunia 2022 Versi Forbes - CNN Indonesia",Positif
138,Bank-bank Pangkas Jam Operasional - CNN Indonesia,Netral
139,"Cerita CT Survive di Masa Pilu: Sesusah Apapun, Tangan Harus di Atas - CNN Indonesia",Negatif
140,Cara Mudah Membeli ORI021 - CNN Indonesia,Positif
141,"Kasus Kredit Fiktif Rp27 M, Eks Kacab Bank BUMN Syariah Ditangkap - CNN Indonesia",Netral
142,"AXA Mandiri Cairkan Klaim Rp4,25 M Buat 170 Nakes Gugur - CNN Indonesia",Netral
143,9 Produk dan Layanan di Allo Bank - CNN Indonesia,Netral
144,Daftar 42 Bank dengan Biaya Transfer Cuma Rp2.500 - CNN Indonesia,Netral
145,PLN Gandeng Himbara Dukung Ekosistem Kendaraan Listrik - CNN Indonesia,Netral
146,Cara Mengetahui Tanggal Kedaluwarsa Kartu ATM Semua Bank - CNN Indonesia,Netral
147,Memahami BI Fast dan Bedanya dengan Sistem Kliring - CNN Indonesia,Positif
148,"Teken Kerja Sama, Taspen Siap Tingkatkan Kesejahteraan ASN Surakarta - CNN Indonesia",Positif
149,"Tipu Korban Rp1 M, Komjen Gadungan 'Ngaku' Punya Rp30 T - CNN Indonesia",Netral
150,Hitung-Hitungan Bunga dan Tenor KPR Era DP Nol Persen - CNN Indonesia,Netral
151,Cek Pengumuman Seleksi Administrasi BUMN Hari Ini - CNN Indonesia,Netral
152,Satgas Covid: Pejabat Eselon 1 ke Atas Bisa Karantina Mandiri di Rumah - CNN Indonesia,Netral
153,Cara Membeli Meterai Elektronik - CNN Indonesia,Netral
154,"Bank-bank BUMN Cetak Laba Rp72,05 Triliun per 2021 - CNN Indonesia",Netral
155,Simak Cara Mengambil Uang di ATM Tanpa Kartu di Berbagai Bank - CNN Indonesia,Netral
156,Rangkaian Tes Rekrutmen Pegawai BUMN Usai Lolos Seleksi Administrasi - CNN Indonesia,Netral
157,Sharon Ganti Erick Thohir Jadi Menteri BUMN dalam Sehari - CNN Indonesia,Netral
158,ATM Dipasang di Rumah Raffi Ahmad-Nagita: Rencana Bisnis - CNN Indonesia,Netral
159,Erick Thohir Bakal 'Gigit' BUMN yang Pakai Utang Serampangan - CNN Indonesia,Netral
160,Langkah dan Cara Mengurus Kartu ATM yang Tertelan - CNN Indonesia,Netral
161,"Pengelola Tol Semarang-Batang Dapat Pinjaman Rp8,9 T dari 4 Bank - CNN Indonesia",Netral
162,"QRIS Bisa Dipakai di Malaysia, Tinggal Scan Barcode - CNN Indonesia",Netral
163,"Tagih Janji, Korban Asuransi Pukul Panci di Depan Kantor OJK - CNN Indonesia",Netral
164,Daftar Program Mudik Gratis dari BUMN - CNN Indonesia,Positif
165,"Jaksa Sebut Nurdin Abdullah Beli Jet Ski-Mesin Kapal Rp1,2 M - CNN Indonesia",Netral
166,"RI-China Tinggalkan Dolar AS, Mulai Pakai Rupiah dan Yuan - CNN Indonesia",Netral
167,"Anak CNI Siap Investasi Rp31,59 T Bangun Smelter Nikel di Sultra - CNN Indonesia",Positif
168,"Uang Nasabah Lagi-lagi Raib Rp241,85 Juta dari Jenius BTPN - CNN Indonesia",Netral
169,Kartu ATM Bank Rusia Tak Bisa Digunakan di Luar Negeri - CNN Indonesia,Netral
170,Pendaftaran UTBK SBMPTN 2022 Ditutup 15 April - CNN Indonesia,Negatif
171,Pemerintah Akan Tarik Utang Rp11 T Lewat Lelang Sukuk Hari Ini - CNN Indonesia,Netral
172,Jokowi Beri Suntikan Modal LPI Rp60 T - CNN Indonesia,Netral
173,"Satgas BLBI Kembali Sita Tanah 1,9 Juta Meter Persegi Milik Texmaco - CNN Indonesia",Netral
174,Airlangga Pastikan Subsidi Bunga KUR 3 Persen untuk UMKM Berlanjut - CNN Indonesia,Netral
175,"Bank Gunting Bunga Kartu Kredit Jadi 1,75 Persen per Bulan - CNN Indonesia",Netral
176,"Baru 80,27 Juta Penduduk Indonesia yang Punya Rekening Bank - CNN Indonesia",Netral
177,"Erick Thohir Cari 1,2 Juta Petani via Program Makmur BUMN - CNN Indonesia",Netral
178,Erick Thohir Sebut Bagi Hasil Bank Syariah Mahal - CNN Indonesia,Netral
179,Bank Indonesia Jatim Perluas Rumah Kurasi - CNN Indonesia,Netral
180,BP Tapera Gandeng 38 Bank Salurkan Dana FLPP Rp23 T - CNN Indonesia,Netral
181,"BLT Subsidi Gaji Cair, Tahap V Selesai Oktober 2021 - CNN Indonesia",Netral
182,Ombudsman: OJK Jadi Instansi Ekonomi Paling Banyak Diadukan di 2021 - CNN Indonesia,Positif
183,Bahaya Aksi Akun CS Bank Palsu Jebak Nasabah di Twitter - CNN Indonesia,Negatif
184,Kemiskinan di DIY Susah Turun Bila Ukurannya Belanja Masyarakat - CNN Indonesia,Negatif
185,OJK Ingatkan Bank soal Dampak Restrukturisasi Kredit - CNN Indonesia,Netral
186,Erick Thohir Bongkar Pasang Bos 7 BUMN Besar Jelang Tutup Tahun - CNN Indonesia,Positif
187,Nonton Streaming Hollywood dan Drama Korea Legal di CubMu - CNN Indonesia,Positif
188,Ragam Jenis Produk Bank Beserta Contohnya - CNN Indonesia,Netral
189,1.000 Kantor Cabang Bank Tutup Gegara Digitalisasi pada 2020 - CNN Indonesia,Netral
190,Tarik Tunai Via ATM Bisa Rp20 Juta Mulai Hari Ini - CNN Indonesia,Netral
191,7 Panduan Isolasi Mandiri Covid-19 Omicron - CNN Indonesia,Netral
192,Bantu Korban Erupsi Gunung Semeru Lewat BerbuatBaik.id - CNN Indonesia,Netral
193,Cara Cek Saldo KKS lewat HP - CNN Indonesia,Netral
194,"Sri Mulyani Respons Texmaco soal Bantah Punya Utang BLBI Rp8,06 T - CNN Indonesia",Netral
195,"Kartu ATM Rusak: Ciri, Penyebab, dan Cara Memperbaiki - CNN Indonesia",Netral
196,"Ramai Aksi Window Dressing, Saham Bank dan Tambang Menjanjikan - CNN Indonesia",Positif
197,"Merah Putih Fund Akan Kucurkan Rp4,13 T untuk Startup - CNN Indonesia",Netral
198,"Jelang Nyepi, Berikut Jadwal Tutup Sementara ATM di Bali - CNN Indonesia",Negatif
199,Dua Warga Turki Lakukan Kejahatan Skimming di Bali - CNN Indonesia,Netral
200,"60 Negara Terancam Ambruk, Bank Mandiri Ungkap Karakteristiknya - Bisnis.com",Netral
201,"Bank Mandiri (BMRI) Proyeksi Ekonomi Indonesia Tumbuh 5,3 Persen di Kuartal II/2022 - Bisnis.com",Positif
202,"Ekonom Bank Mandiri Prediksi Inflasi Mei 2022 Naik 0,43 Persen - Bisnis.com",Netral
203,"Surplus Neraca Dagang Mei 2022 Turun Tajam, di Bawah Perkiraan Ekonom Bank Mandiri - Bisnis.com",Negatif
204,PLN Gandeng Himbara Kucurkan Kredit Kendaran Listrik dan Bangun SPKLU - Bisnis.com,Netral
205,Menteri ESDM Beberkan Potensi Panas Bumi di Nage NTT - Bisnis.com,Netral
206,Ekonom Ramal Cadangan Devisa RI Bisa Tembus US$140 Miliar - Bisnis.com,Negatif
207,Bank Mandiri Kucurkan Kredit Sindikasi untuk 2 Proyek Infrastruktur - Bisnis.com,Netral
208,Ramalan Ekonom Bank Mandiri (BMRI) atas Neraca Transaksi Berjalan Indonesia 2022 - Bisnis.com,Positif
209,"Neraca Transaksi Berjalan RI Bakal Surplus 0,03 Persen Tahun Ini - Bisnis.com",Netral
210,"Bank Mandiri Proyeksikan Ekonomi Indonesia Tumbuh 5,17 Persen, Ini Faktornya! - Bisnis.com",Netral
211,"BUMN Pengelola Bandara Masih Tahan Investasi, Ini Alasannya - Bisnis.com",Netral
212,Bank Mandiri: Surplus Neraca Perdagangan Maret 2022 Lampaui Proyeksi - Bisnis.com,Netral
213,"Bayar Tagihan Listrik Lebih Cepat Lewat PLN Mobile, Begini Caranya - Bisnis.com",Netral
214,Bank Mandiri (BMRI): Sektor Usaha Terdampak Pandemi Perlu Bantuan Fiskal - Bisnis.com,Netral
